Designator,Val,Footprint,Mid X,Mid Y,Rotation,Layer
"AE1","Antenna","Texas_SWRA117D_2.4GHz_Left",196.705848,-96.362628,-113.000000,top
"BZ1","Buzzer","Buzzer-GSC5025YA-12R4000",187.800000,-53.000000,-90.000000,top
"C1","0.1uF","C_0402_1005Metric",195.200000,-70.700000,0.000000,top
"C2","20pF","C_0402_1005Metric",185.600000,-81.300000,180.000000,top
"C4","20pF","C_0402_1005Metric",187.920000,-81.400000,0.000000,top
"C5","1uF","C_0402_1005Metric",190.500000,-69.900000,180.000000,top
"C6","0.1uF","C_0402_1005Metric",190.500000,-68.800000,180.000000,top
"C9","1uF","C_0402_1005Metric",190.300000,-80.100000,-90.000000,top
"C10","0.1uF","C_0402_1005Metric",186.100000,-69.600000,90.000000,top
"C11","1uF","C_0402_1005Metric",192.400000,-68.800000,0.000000,top
"C13","0.1uF","C_0402_1005Metric",198.800000,-57.600000,180.000000,top
"C15","22uF","C_1206_3216Metric",204.500000,-79.300000,0.000000,top
"C16","1uF","C_0402_1005Metric",192.700000,-132.700000,90.000000,top
"C17","10nF","C_0402_1005Metric",189.400000,-107.500000,0.000000,top
"C18","33nF","C_0402_1005Metric",189.400000,-106.500000,0.000000,top
"C20","0.1uF","C_0402_1005Metric",204.700000,-53.100000,180.000000,top
"C21","22uF","C_1206_3216Metric",194.900000,-112.900000,180.000000,top
"C22","22uF","C_1206_3216Metric",204.400000,-81.800000,0.000000,top
"C23","2.2n","C_0402_1005Metric",195.000000,-100.900000,180.000000,top
"C24","9pF","C_0402_1005Metric",196.300000,-103.100000,0.000000,top
"C25","22uF","C_1206_3216Metric",199.600000,-132.500000,0.000000,top
"C26",".1uF","C_0603_1608Metric",196.700000,-53.600000,-90.000000,top
"C27","4.7pf","C_0402_1005Metric",192.720000,-97.600000,0.000000,top
"C28","4.7pf","C_0402_1005Metric",194.200000,-98.100000,90.000000,top
"C29","1uF","C_0402_1005Metric",185.600000,-86.900000,90.000000,top
"C30","1uF","C_0402_1005Metric",191.000000,-90.000000,180.000000,top
"C31","1uF","C_0402_1005Metric",188.999999,-90.000000,180.000000,top
"C32","1uF","C_0402_1005Metric",187.000000,-90.000000,180.000000,top
"C33","0.1uF","C_0402_1005Metric",204.200000,-51.500000,-90.000000,top
"C34","1uF","C_0402_1005Metric",200.700000,-51.300000,-90.000000,top
