"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R21,R22";"C_0402_1005Metric";2;"330";;;
2;"R20";"C_0402_1005Metric";1;"2.2K";;;
3;"U4";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias";1;"AX5201";;;
4;"C1,C20,C6,C13,C10,C33";"C_0402_1005Metric";6;"0.1uF";;;
5;"R19";"R_0402_1005Metric";1;"1M";;;
6;"C9,C31,C29,C16,C30,C43,C34,C32,C11,C5";"C_0402_1005Metric";10;"1uF";;;
7;"D2,D1";"D_SMA";2;"D_Schottky";;;
8;"C42,C45";"C_0603_1608Metric";2;"10uF";;;
9;"SW3";"SW_Push_1P2T_Vertical_E-Switch_800UDP8P1A1M6";1;"SW_SPDT";;;
10;"U7";"TFDU4301";1;"TFDU4301";;;
11;"U5";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
12;"R2,R3,R24,R9";"R_0402_1005Metric";4;"10K";;;
13;"C46,C23";"C_0402_1005Metric";2;"2.2n";;;
14;"R15";"R_0402_1005Metric";1;"22K";;;
15;"BZ1";"Buzzer-GSC5025YA-12R4000";1;"Buzzer";;;
16;"U2";"SOP-8_3.9x4.9mm_P1.27mm";1;"CN3058";;;
17;"C44,C15,C22,C25,C35,C21";"C_1206_3216Metric";6;"22uF";;;
18;"C18";"C_0402_1005Metric";1;"33nF";;;
19;"TP1,TP3,TP2";"TestPoint_Pad_D1.0mm";3;" ";;;
20;"U1";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
21;"U6";"QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm";1;"Si24R1";;;
22;"R18,R23,R17";"R_0402_1005Metric";3;"0";;;
23;"R7,R6";"R_0402_1005Metric";2;"27";;;
24;"L3";"L_0402_1005Metric";1;"8.2nH";;;
25;"C26";"C_0603_1608Metric";1;".1uF";;;
26;"C41,C24";"C_0402_1005Metric";2;"9pF";;;
27;"D516,D517,D518";"LED_0603_1608Metric";3;"LED";;;
28;"C47,C27,C28";"C_0402_1005Metric";3;"4.7pf";;;
29;"U8";"SOT-23";1;"SM351LT";;;
30;"U3";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
31;"L4";"L_0402_1005Metric";1;"3.9nH";;;
32;"C2,C4";"C_0402_1005Metric";2;"20pF";;;
33;"R4,R5";"R_0402_1005Metric";2;"5.1k";;;
34;"AE1";"Texas_SWRA117D_2.4GHz_Left";1;"Antenna";;;
35;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz";;;
36;"R16,R1,R10,R11,R8,R13";"R_0402_1005Metric";6;"1K";;;
37;"Q1";"R_0402_1005Metric";1;"ALS-PT19";;;
38;"Q2";"SOT-23";1;"Q_NMOS_GSD";;;
39;"P1";"TC2030-MCP-NL";1;"TC2030-CTX";;;
40;"U25";"AP3722AT";1;"AP3722AT";;;
41;"J4";"FlatFlexWingConnector-PCBSide";1;"Conn_02x07_Odd_Even";;;
42;"R12";"R_0402_1005Metric";1;"4.22K";;;
43;"U9";"SOT-23-6";1;"TMI8118";;;
44;"M1";"JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical";1;"Motor_DC";;;
45;"C17";"C_0402_1005Metric";1;"10nF";;;
46;"SW1";"SW_SPST_EVPBF";1;"SW_Push";;;
47;"Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
48;"L1";"YSPI0630A";1;"22uH";;;
49;"L2";"L_0402_1005Metric";1;"2.7nH";;;
50;"R14";"R_0402_1005Metric";1;"4.7K";;;
51;"BT1";"BatteryHolder_MPD_BH-18650-PC2";1;"Battery_Cell";;;
52;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
