Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_1206_3216Metric",60.054294,9.919114,-90.000000,top
"C2","1uF","C_0402_1005Metric",37.654294,8.719114,-90.000000,top
"C3","10uF","C_0603_1608Metric",30.154294,8.819114,90.000000,top
"C4","22uF","C_1206_3216Metric",64.354294,-68.580886,180.000000,top
"C5","22uF","C_1206_3216Metric",143.654294,-94.480886,180.000000,top
"C6","22uF","C_1206_3216Metric",107.054294,-138.980886,-135.000000,top
"C7","22uF","C_1206_3216Metric",68.519333,-136.091715,135.000000,top
"C8","22uF","C_1206_3216Metric",125.754294,-181.180886,0.000000,top
"C9","10uF","C_0603_1608Metric",56.419333,10.208285,180.000000,top
"C10","10uF","C_0603_1608Metric",56.419333,8.308285,180.000000,top
"D1","SK6812","XL-3528RGBW",160.995401,-100.107279,180.000000,top
"D2","SK6812","XL-3528RGBW",159.954294,-95.280886,180.000000,top
"D3","SK6812","XL-3528RGBW",160.695401,-104.507279,180.000000,top
"D4","SK6812","XL-3528RGBW",161.295401,-109.307279,180.000000,top
"D5","SK6812","XL-3528RGBW",161.095401,-114.007279,180.000000,top
"D6","SK6812","XL-3528RGBW",155.395401,-111.307279,180.000000,top
"D7","SK6812","XL-3528RGBW",156.854294,-115.480886,180.000000,top
"D8","SK6812","XL-3528RGBW",149.995401,-115.507279,180.000000,top
"D9","SK6812","XL-3528RGBW",145.254294,-112.080886,180.000000,top
"D10","SK6812","XL-3528RGBW",143.054294,-116.880886,180.000000,top
"D11","SK6812","XL-3528RGBW",141.054294,-122.680886,180.000000,top
"D12","SK6812","XL-3528RGBW",135.404294,-121.130886,180.000000,top
"D13","SK6812","XL-3528RGBW",132.054294,-126.080886,180.000000,top
"D14","SK6812","XL-3528RGBW",127.895401,-130.307279,180.000000,top
"D15","SK6812","XL-3528RGBW",123.554294,-135.780886,180.000000,top
"D16","SK6812","XL-3528RGBW",123.054294,-140.880886,180.000000,top
"D17","SK6812","XL-3528RGBW",123.504294,-145.330886,180.000000,top
"D18","SK6812","XL-3528RGBW",125.354294,-150.080886,180.000000,top
"D19","SK6812","XL-3528RGBW",129.854294,-153.280886,180.000000,top
"D20","SK6812","XL-3528RGBW",134.854294,-153.780886,180.000000,top
"D21","SK6812","XL-3528RGBW",140.295401,-153.007279,180.000000,top
"D22","SK6812","XL-3528RGBW",145.895401,-151.807279,180.000000,top
"D23","SK6812","XL-3528RGBW",149.695401,-147.707279,180.000000,top
"D24","SK6812","XL-3528RGBW",153.495401,-143.607279,180.000000,top
"D25","SK6812","XL-3528RGBW",155.395401,-139.407279,180.000000,top
"D26","SK6812","XL-3528RGBW",157.054294,-134.580886,180.000000,top
"D27","SK6812","XL-3528RGBW",150.995401,-132.907279,180.000000,top
"D28","SK6812","XL-3528RGBW",150.295401,-152.207279,180.000000,top
"D29","SK6812","XL-3528RGBW",147.904294,-157.130886,180.000000,top
"D30","SK6812","XL-3528RGBW",142.254294,-158.780886,180.000000,top
"D31","SK6812","XL-3528RGBW",145.454294,-162.680886,180.000000,top
"D32","SK6812","XL-3528RGBW",139.504294,-165.230886,180.000000,top
"D33","SK6812","XL-3528RGBW",141.954294,-168.680886,180.000000,top
"D34","SK6812","XL-3528RGBW",135.654294,-170.480886,180.000000,top
"D35","SK6812","XL-3528RGBW",137.495401,-174.507279,180.000000,top
"D36","SK6812","XL-3528RGBW",131.095401,-173.907279,180.000000,top
"D37","SK6812","XL-3528RGBW",129.395401,-178.407279,180.000000,top
"D38","SK6812","XL-3528RGBW",124.154294,-177.780886,180.000000,top
"D39","SK6812","XL-3528RGBW",121.204294,-182.030886,180.000000,top
"D40","SK6812","XL-3528RGBW",115.854294,-178.280886,180.000000,top
"D41","SK6812","XL-3528RGBW",113.854294,-182.080886,180.000000,top
"D42","SK6812","XL-3528RGBW",110.095401,-177.607279,180.000000,top
"D43","SK6812","XL-3528RGBW",104.454294,-178.080886,180.000000,top
"D44","SK6812","XL-3528RGBW",104.295401,-173.507279,180.000000,top
"D45","SK6812","XL-3528RGBW",99.704294,-171.430886,180.000000,top
"D46","SK6812","XL-3528RGBW",99.254294,-177.380886,180.000000,top
"D47","SK6812","XL-3528RGBW",94.854294,-175.230886,180.000000,top
"D48","SK6812","XL-3528RGBW",88.754294,-175.480886,180.000000,top
"D49","SK6812","XL-3528RGBW",91.604294,-180.130886,180.000000,top
"D50","SK6812","XL-3528RGBW",84.554294,-181.880886,180.000000,top
"D51","SK6812","XL-3528RGBW",82.654294,-177.180886,180.000000,top
"D52","SK6812","XL-3528RGBW",79.704294,-183.330886,180.000000,top
"D53","SK6812","XL-3528RGBW",77.654294,-178.880886,180.000000,top
"D54","SK6812","XL-3528RGBW",71.954294,-183.380886,180.000000,top
"D55","SK6812","XL-3528RGBW",71.954294,-177.780886,180.000000,top
"D56","SK6812","XL-3528RGBW",66.454294,-180.630886,180.000000,top
"D57","SK6812","XL-3528RGBW",66.195401,-175.207279,180.000000,top
"D58","SK6812","XL-3528RGBW",69.495401,-171.807279,180.000000,top
"D59","SK6812","XL-3528RGBW",65.654294,-168.080886,180.000000,top
"D60","SK6812","XL-3528RGBW",69.795401,-165.207279,180.000000,top
"D61","SK6812","XL-3528RGBW",66.795401,-161.507279,180.000000,top
"D62","SK6812","XL-3528RGBW",71.454294,-159.180886,180.000000,top
"D63","SK6812","XL-3528RGBW",68.754294,-155.280886,180.000000,top
"D64","SK6812","XL-3528RGBW",73.295401,-153.307279,180.000000,top
"D65","SK6812","XL-3528RGBW",70.804294,-149.430886,180.000000,top
"D66","SK6812","XL-3528RGBW",74.904294,-146.930886,180.000000,top
"D67","SK6812","XL-3528RGBW",73.454294,-143.280886,180.000000,top
"D68","SK6812","XL-3528RGBW",77.954294,-141.380886,180.000000,top
"D69","SK6812","XL-3528RGBW",73.804294,-138.730886,180.000000,top
"D70","SK6812","XL-3528RGBW",78.904294,-137.330886,180.000000,top
"D71","SK6812","XL-3528RGBW",83.854294,-139.030886,180.000000,top
"D72","SK6812","XL-3528RGBW",88.954294,-137.680886,180.000000,top
"D73","SK6812","XL-3528RGBW",93.654294,-138.080886,180.000000,top
"D74","SK6812","XL-3528RGBW",98.354294,-136.980886,180.000000,top
"D75","SK6812","XL-3528RGBW",102.395401,-140.607279,180.000000,top
