Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","1uF","C_0402_1005Metric",299.300000,-2.500000,0.000000,top
"C2","22uF","C_1206_3216Metric",188.400000,-111.500000,180.000000,top
"C3","10uF","C_0603_1608Metric",278.600000,-5.000000,180.000000,top
"C38","22uF","C_1206_3216Metric",220.457017,-173.757017,135.000000,top
"C39","22uF","C_1206_3216Metric",222.700000,-21.300000,0.000000,top
"C40","22uF","C_1206_3216Metric",276.700000,-2.600000,0.000000,top
"C41","22uF","C_1206_3216Metric",231.800000,-129.500000,0.000000,top
"C42","10uF","C_0603_1608Metric",278.600000,-8.400000,180.000000,top
"C43","10uF","C_0603_1608Metric",278.600000,-6.700000,180.000000,top
"C44","22uF","C_1206_3216Metric",268.400000,-85.500000,0.000000,top
"D1","SK6812","XL-3528RGBW",172.058893,-117.226393,0.000000,top
"D2","SK6812","XL-3528RGBW",173.100000,-112.400000,0.000000,top
"D3","SK6812","XL-3528RGBW",172.358893,-121.626393,0.000000,top
"D4","SK6812","XL-3528RGBW",171.758893,-126.426393,0.000000,top
"D5","SK6812","XL-3528RGBW",171.958893,-131.126393,0.000000,top
"D6","SK6812","XL-3528RGBW",177.658893,-128.426393,0.000000,top
"D7","SK6812","XL-3528RGBW",176.200000,-132.600000,0.000000,top
"D8","SK6812","XL-3528RGBW",183.058893,-132.626393,0.000000,top
"D9","SK6812","XL-3528RGBW",187.800000,-129.200000,0.000000,top
"D10","SK6812","XL-3528RGBW",190.000000,-134.000000,0.000000,top
"D11","SK6812","XL-3528RGBW",192.000000,-139.800000,0.000000,top
"D12","SK6812","XL-3528RGBW",197.650000,-138.250000,0.000000,top
"D13","SK6812","XL-3528RGBW",201.000000,-143.200000,0.000000,top
"D14","SK6812","XL-3528RGBW",205.158893,-147.426393,0.000000,top
"D15","SK6812","XL-3528RGBW",209.500000,-152.900000,0.000000,top
"D16","SK6812","XL-3528RGBW",210.000000,-158.000000,0.000000,top
"D17","SK6812","XL-3528RGBW",209.550000,-162.450000,0.000000,top
"D18","SK6812","XL-3528RGBW",207.700000,-167.200000,0.000000,top
"D19","SK6812","XL-3528RGBW",203.200000,-170.400000,0.000000,top
"D20","SK6812","XL-3528RGBW",198.200000,-170.900000,0.000000,top
"D21","SK6812","XL-3528RGBW",192.758893,-170.126393,0.000000,top
"D22","SK6812","XL-3528RGBW",187.158893,-168.926393,0.000000,top
"D23","SK6812","XL-3528RGBW",183.358893,-164.826393,0.000000,top
"D24","SK6812","XL-3528RGBW",179.558893,-160.726393,0.000000,top
"D25","SK6812","XL-3528RGBW",177.658893,-156.526393,0.000000,top
"D26","SK6812","XL-3528RGBW",176.000000,-151.700000,0.000000,top
"D27","SK6812","XL-3528RGBW",182.058893,-150.026393,0.000000,top
"D28","SK6812","XL-3528RGBW",182.758893,-169.326393,0.000000,top
"D29","SK6812","XL-3528RGBW",185.150000,-174.250000,0.000000,top
"D30","SK6812","XL-3528RGBW",190.800000,-175.900000,0.000000,top
"D31","SK6812","XL-3528RGBW",187.600000,-179.800000,0.000000,top
"D32","SK6812","XL-3528RGBW",193.550000,-182.350000,0.000000,top
"D33","SK6812","XL-3528RGBW",191.100000,-185.800000,0.000000,top
"D34","SK6812","XL-3528RGBW",197.400000,-187.600000,0.000000,top
"D35","SK6812","XL-3528RGBW",195.558893,-191.626393,0.000000,top
"D36","SK6812","XL-3528RGBW",201.958893,-191.026393,0.000000,top
"D37","SK6812","XL-3528RGBW",203.658893,-195.526393,0.000000,top
"D38","SK6812","XL-3528RGBW",209.900000,-194.700000,0.000000,top
"D39","SK6812","XL-3528RGBW",211.850000,-199.150000,0.000000,top
"D40","SK6812","XL-3528RGBW",217.200000,-195.400000,0.000000,top
"D41","SK6812","XL-3528RGBW",219.200000,-199.200000,0.000000,top
"D42","SK6812","XL-3528RGBW",222.958893,-194.726393,0.000000,top
"D43","SK6812","XL-3528RGBW",228.600000,-195.200000,0.000000,top
"D44","SK6812","XL-3528RGBW",228.758893,-190.626393,0.000000,top
"D45","SK6812","XL-3528RGBW",233.350000,-188.550000,0.000000,top
"D46","SK6812","XL-3528RGBW",233.800000,-194.500000,0.000000,top
"D47","SK6812","XL-3528RGBW",238.200000,-192.350000,0.000000,top
"D48","SK6812","XL-3528RGBW",244.300000,-192.600000,0.000000,top
"D49","SK6812","XL-3528RGBW",241.450000,-197.250000,0.000000,top
"D50","SK6812","XL-3528RGBW",248.500000,-199.000000,0.000000,top
"D51","SK6812","XL-3528RGBW",250.400000,-194.300000,0.000000,top
"D52","SK6812","XL-3528RGBW",253.350000,-200.450000,0.000000,top
"D53","SK6812","XL-3528RGBW",255.400000,-196.000000,0.000000,top
